Dataset,Feature Selection,Classifier,F1 Score,Accuracy,Precision,Recall,ROC AUC,F1 Score_GoodTest,F1 Score_MixedTest,F1 Score_BadTest
Good,None,KNN,0.8164308262894601,0.7428571428571427,0.7976260504201681,0.8542296918767508,0.6962706900942196,0.41258741258741255,0.3333333333333333,0.48571428571428577
Good,None,LR,0.8164308262894601,0.7428571428571427,0.7976260504201681,0.8542296918767508,0.6962706900942196,0.14285714285714285,0.37777777777777777,0.4375
Good,None,DTC,0.8164308262894601,0.7428571428571427,0.7976260504201681,0.8542296918767508,0.6962706900942196,0.33333333333333337,0.3142857142857143,0.7333333333333334
Good,Variance Threshold,KNN,0.8145846724433061,0.7396825396825395,0.7951260504201682,0.8542296918767508,0.6932403870639166,0.41258741258741255,0.3333333333333333,0.48571428571428577
Good,Variance Threshold,LR,0.8145846724433061,0.7396825396825395,0.7951260504201682,0.8542296918767508,0.6932403870639166,0.14285714285714285,0.37777777777777777,0.4375
Good,Variance Threshold,DTC,0.8145846724433061,0.7396825396825395,0.7951260504201682,0.8542296918767508,0.6932403870639166,0.33333333333333337,0.4125874125874126,0.49579831932773105
Good,PCA,KNN,0.8350812032861368,0.7714285714285716,0.8228689937513468,0.8659943977591038,0.7328023936847466,0.41258741258741255,0.3333333333333333,0.48571428571428577
Good,PCA,LR,0.8350812032861368,0.7714285714285716,0.8228689937513468,0.8659943977591038,0.7328023936847466,0.14285714285714285,0.37777777777777777,0.4375
Good,PCA,DTC,0.8350812032861368,0.7714285714285716,0.8228689937513468,0.8659943977591038,0.7328023936847466,0.4957983193277311,0.5,0.41258741258741255
Mixed,None,KNN,0.7345937607149119,0.6563134978229318,0.7125429873132159,0.7781684651703625,0.6120529288356114,0.25,0.48571428571428577,0.48571428571428577
Mixed,None,LR,0.7345937607149119,0.6563134978229318,0.7125429873132159,0.7781684651703625,0.6120529288356114,0.14285714285714285,0.37777777777777777,0.4375
Mixed,None,DTC,0.7345937607149119,0.6563134978229318,0.7125429873132159,0.7781684651703625,0.6120529288356114,0.33333333333333337,0.4125874125874126,0.4375
Mixed,Variance Threshold,KNN,0.7408695911110751,0.658829221093372,0.7150257396734191,0.7934883304902278,0.6098883000920352,0.25,0.48571428571428577,0.48571428571428577
Mixed,Variance Threshold,LR,0.7408695911110751,0.658829221093372,0.7150257396734191,0.7934883304902278,0.6098883000920352,0.14285714285714285,0.37777777777777777,0.4375
Mixed,Variance Threshold,DTC,0.7408695911110751,0.658829221093372,0.7150257396734191,0.7934883304902278,0.6098883000920352,0.33333333333333337,0.4125874125874126,0.4375
Mixed,PCA,KNN,0.7160205796282517,0.6446782776971457,0.7137112120472762,0.7319041138775483,0.610603391156672,0.25,0.48571428571428577,0.48571428571428577
Mixed,PCA,LR,0.7160205796282517,0.6446782776971457,0.7137112120472762,0.7319041138775483,0.610603391156672,0.24475524475524477,0.48571428571428577,0.3142857142857143
Mixed,PCA,DTC,0.7160205796282517,0.6446782776971457,0.7137112120472762,0.7319041138775483,0.610603391156672,0.4375,0.5555555555555556,0.41258741258741255
Bad,None,KNN,0.5648102753201691,0.5777777777777778,0.5814213564213564,0.5686998186998188,0.5796490546490546,0.2,0.4125874125874126,0.41258741258741255
Bad,None,LR,0.5648102753201691,0.5777777777777778,0.5814213564213564,0.5686998186998188,0.5796490546490546,0.33333333333333337,0.5804195804195804,0.5
Bad,None,DTC,0.5648102753201691,0.5777777777777778,0.5814213564213564,0.5686998186998188,0.5796490546490546,0.2,0.5,0.41258741258741255
Bad,Variance Threshold,KNN,0.559344311332466,0.5746031746031747,0.5827344877344877,0.5588578088578089,0.5788947163947163,0.2,0.4125874125874126,0.41258741258741255
Bad,Variance Threshold,LR,0.559344311332466,0.5746031746031747,0.5827344877344877,0.5588578088578089,0.5788947163947163,0.33333333333333337,0.5804195804195804,0.5
Bad,Variance Threshold,DTC,0.559344311332466,0.5746031746031747,0.5827344877344877,0.5588578088578089,0.5788947163947163,0.2,0.5804195804195804,0.3333333333333333
Bad,PCA,KNN,0.5867999379212193,0.6126984126984129,0.616082251082251,0.5798109298109299,0.6167217042217042,0.2,0.4125874125874126,0.41258741258741255
Bad,PCA,LR,0.5867999379212193,0.6126984126984129,0.616082251082251,0.5798109298109299,0.6167217042217042,0.33333333333333337,0.5804195804195804,0.41258741258741255
Bad,PCA,DTC,0.5867999379212193,0.6126984126984129,0.616082251082251,0.5798109298109299,0.6167217042217042,0.2941176470588235,0.5804195804195804,0.14285714285714288
