image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC_0024306,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024307,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024308,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024309,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024310,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024311,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024314,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024315,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024316,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024317,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024318,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024319,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024320,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024321,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024322,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024323,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024325,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024326,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024327,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024328,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024329,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024330,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024331,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024332,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024334,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024335,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024339,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024340,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024341,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024342,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024343,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024344,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024345,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024346,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024351,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024360,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024367,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024372,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024386,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024396,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024400,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024403,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024410,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024418,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024431,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024432,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024436,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024443,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024448,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024449,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024450,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024452,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024454,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024457,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024459,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024461,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024463,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024468,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024470,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024472,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024481,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024482,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024496,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024504,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024511,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024515,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024516,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024517,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024522,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024537,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024539,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024545,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024546,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024550,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024552,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024553,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024554,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024562,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024564,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024571,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024572,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024573,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024575,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024579,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024582,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024586,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024590,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024595,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024624,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024630,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024646,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024654,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024707,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024710,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024763,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024771,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024800,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024843,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024845,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024913,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024923,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024925,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0024973,0.0,0.0,0.0,0.0,0.0,1.0,0.0
